Name,Imprecise-Unbiased,X3
Cobs,0.2,0.6
Cbiascv,0.05,
CAA_nsamp,50,100
CAA_ESS,10,20
CAL_nsamp,50,100
CAL_ESS,10,20
CALcv,0.1,0.15
Iobs,0.2,0.6
LenMbiascv,0.05,
Mbiascv,0.05,
Kbiascv,0.05,
t0biascv,0.05,
Linfbiascv,0.05,
LFCbiascv,0.05,
LFSbiascv,0.05,
B0cv,0.5,
FMSYbiascv,0.1,
FMSY_Mbiascv,0.25,
BMSY_B0biascv,0.1,
ageMcv,0.1,
rcv,0.2,
Fgaincv,0.2,
A50cv,0.2,
Dbiascv,0.2,
Dobs,0.05,0.2
Btbiascv,0.333,3
Btobs,0.2,0.5
Fcurbiascv,0.2,
Fcurcv,0.5,1
hbiascv,0.1,
Ibiascv,0.1,
maxagecv,0.1,
Recbiascv,0.1,0.3
Irefbiascv,0.1,
Crefbiascv,0.1,
Brefbiascv,0.1,
beta,0.666,1.5
